Created on 10-22-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-03-17,XRPUSD,0.6778,0.6829,0.6133,0.6288,9494083.18,6163812.05
2018-03-16,XRPUSD,0.6818,0.7097,0.6556,0.6778,8320403.76,5729518.01
2018-03-15,XRPUSD,0.6851,0.7213,0.6252,0.6818,16812757.19,11184108.11
2018-03-14,XRPUSD,0.7778,0.7888,0.6515,0.6851,13912364.57,9959270.8
2018-03-13,XRPUSD,0.78,0.7984,0.7601,0.7778,5266016.97,4087372.94
2018-03-12,XRPUSD,0.815,0.83,0.7628,0.78,6829400.92,5467015.38
2018-03-11,XRPUSD,0.7741,0.8305,0.75,0.815,7411862.71,5892458.69
2018-03-10,XRPUSD,0.8217,0.8438,0.7655,0.7741,5881250.96,4747311.71
2018-03-09,XRPUSD,0.8058,0.845,0.7322,0.8217,22805907.47,17804321.36
2018-03-08,XRPUSD,0.8519,0.8719,0.7923,0.8058,10783150.19,9007672.24
2018-03-07,XRPUSD,0.9009,0.914,0.786,0.8519,17306668.53,14871707.83
2018-03-06,XRPUSD,0.944,0.98,0.8916,0.9009,17198288.74,15952456.8
2018-03-05,XRPUSD,1,1.1,0.9389,0.944,21549691.29,21845710.15
2018-03-04,XRPUSD,0.8973,1.03,0.885,1,12464568.74,11942685.21
2018-03-03,XRPUSD,0.8996,0.92,0.8905,0.8973,3776157.25,3414883.58
2018-03-02,XRPUSD,0.9142,0.9212,0.8866,0.8996,3761470.36,3387461.87
2018-03-01,XRPUSD,0.887,0.949,0.875,0.9142,6918167.36,6318935.07
2018-02-28,XRPUSD,0.928,0.9479,0.88,0.887,5589015.53,5095523.61
2018-02-27,XRPUSD,0.9273,0.96,0.9169,0.928,5823859.19,5464128.09
2018-02-26,XRPUSD,0.9025,0.9527,0.878,0.9273,6992458.48,6423528.17
2018-02-25,XRPUSD,0.9012,0.9262,0.8765,0.9025,4800640.49,4313855.25
2018-02-24,XRPUSD,0.9369,0.972,0.8673,0.9012,7221243.71,6596916.99
2018-02-23,XRPUSD,0.889,0.99,0.8501,0.9369,12734602.12,11797090.69
2018-02-22,XRPUSD,0.9513,1.01,0.8536,0.889,16847344.31,15509935.86
2018-02-21,XRPUSD,1.03,1.04,0.94,0.9513,16356453.49,16202417.74
2018-02-20,XRPUSD,1.11,1.13,1,1.03,10252476.36,11018661.54
2018-02-19,XRPUSD,1.07,1.14,1.07,1.11,5913471.48,6592652.88
2018-02-18,XRPUSD,1.18,1.18,1.05,1.07,13222193.51,14668616.89
2018-02-17,XRPUSD,1.12,1.21,1.1,1.18,12388033.21,14336736.98
2018-02-16,XRPUSD,1.11,1.12,1.07,1.12,8233232.02,9051706.51
2018-02-15,XRPUSD,1.13,1.15,1.08,1.11,17678743.78,19663673.31
2018-02-14,XRPUSD,0.9825,1.16,0.9777,1.13,23790537.49,25304234.47
2018-02-13,XRPUSD,1.04,1.05,0.966,0.9825,11068288.53,11073582.81
2018-02-12,XRPUSD,0.9597,1.08,0.956,1.04,22060138.58,22785419.43
2018-02-11,XRPUSD,1.03,1.04,0.893,0.9597,28293840.49,27270399.71
2018-02-10,XRPUSD,0.9199,1.23,0.9035,1.03,61576576.04,64055602.05
2018-02-09,XRPUSD,0.7784,0.929,0.7398,0.9199,26517169.99,22561574.76
2018-02-08,XRPUSD,0.71,0.789,0.707,0.7784,18546230.76,13930076.81
2018-02-07,XRPUSD,0.757,0.8262,0.6872,0.71,28578803.18,21693463.45
2018-02-06,XRPUSD,0.672,0.7813,0.562,0.757,58275139.52,38743122.29
2018-02-05,XRPUSD,0.807,0.831,0.621,0.672,48549955.6,34861923.01
2018-02-04,XRPUSD,0.9523,0.961,0.77,0.807,21649305.41,18447527.9
2018-02-03,XRPUSD,0.89,1.02,0.7621,0.9523,27894988.43,25277830.2
2018-02-02,XRPUSD,0.9399,0.985,0.6183,0.89,65866071.09,53840853.55
2018-02-01,XRPUSD,1.12,1.13,0.87,0.9399,32442612.3,31758102.71
2018-01-31,XRPUSD,1.09,1.14,1,1.12,21826728.78,23598543.02
2018-01-30,XRPUSD,1.26,1.26,1.06,1.09,28766071.86,33420036.2
2018-01-29,XRPUSD,1.35,1.36,1.24,1.26,16294579.63,20953344.06
2018-01-28,XRPUSD,1.21,1.4,1.21,1.35,18901407.39,24164463.25
2018-01-27,XRPUSD,1.21,1.24,1.17,1.21,9375819.4,11336917.34
2018-01-26,XRPUSD,1.3,1.33,1.11,1.21,25386745.56,30481021.11
2018-01-25,XRPUSD,1.36,1.38,1.27,1.3,15577065.92,20670285.27
2018-01-24,XRPUSD,1.34,1.42,1.29,1.36,24873620.03,33563535.7
2018-01-23,XRPUSD,1.34,1.47,1.18,1.34,43776847.85,58140228.12
2018-01-22,XRPUSD,1.37,1.42,1.14,1.34,39508916.89,49760692.01
2018-01-21,XRPUSD,1.57,1.58,1.3,1.37,32806581.34,46286808.86
2018-01-20,XRPUSD,1.54,1.64,1.49,1.57,21317363.91,33253331.79
2018-01-19,XRPUSD,1.58,1.7,1.48,1.54,33542812.68,53182988.52
2018-01-18,XRPUSD,1.32,1.75,1.23,1.58,63550999.24,96438498.06
2018-01-17,XRPUSD,1.18,1.47,0.88,1.32,82441067.31,92358254.75
2018-01-16,XRPUSD,1.66,1.7,0.837,1.18,71373463.27,90753692.88
2018-01-15,XRPUSD,1.85,1.9,1.63,1.66,13373343.96,23995655.16
2018-01-14,XRPUSD,2.03,2.08,1.8,1.85,11061589.79,21018543.13
2018-01-13,XRPUSD,1.65,1.65,1.65,1.65,0.0,0.0
2018-01-12,XRPUSD,1.65,1.65,1.65,1.65,0.0,0.0
2018-01-11,XRPUSD,1.95,1.97,1.51,1.65,12698411.35,20974502.4
2018-01-10,XRPUSD,2.02,2.1,1.6,1.95,23211754.28,43629376.01
2018-01-09,XRPUSD,2.41,2.51,1.85,2.02,17336497.28,37857079.58
2018-01-08,XRPUSD,2.76,2.76,2.1,2.41,11198029.76,27543981.45
2018-01-07,XRPUSD,2.63,2.78,2.55,2.76,5498995.74,14810075.42
2018-01-06,XRPUSD,2.5,2.83,2.46,2.63,8684928.43,23043987.66
2018-01-05,XRPUSD,2.6,3,2.15,2.5,24120618.57,63029165.61
2018-01-04,XRPUSD,2.78,3.35,2.34,2.6,27076427.24,81046558.24
2018-01-03,XRPUSD,2.21,2.9,2.19,2.78,19203695.69,48019110.05
2018-01-02,XRPUSD,2.1,2.22,1.93,2.21,11924071.43,24752610.18
2018-01-01,XRPUSD,1.99,2.1,1.82,2.1,7967707.69,15563271.96
2017-12-31,XRPUSD,1.89,2.1,1.6,1.99,17430762.51,32795366.81
2017-12-30,XRPUSD,1.95,2.48,1.79,1.89,42478696.2,88874326.14
2017-12-29,XRPUSD,1.28,1.95,1.27,1.95,40342132.86,65245746.66
2017-12-28,XRPUSD,1.21,1.3,1.15,1.28,21684465.07,26738448.09
2017-12-27,XRPUSD,1.08,1.3,1.06,1.21,26344167.67,30685491.84
2017-12-26,XRPUSD,1,1.1,0.987,1.08,8992709.01,9310193.59
2017-12-25,XRPUSD,0.9851,1.06,0.95,1,8119080.69,8115342.58
2017-12-24,XRPUSD,1.03,1.06,0.8575,0.9851,16082707.59,15460967.43
2017-12-23,XRPUSD,1.01,1.09,0.95,1.03,13552416.98,14121610.62
2017-12-22,XRPUSD,1.1,1.25,0.68,1.01,35615087.86,35991292.02
2017-12-21,XRPUSD,0.7195,1.17,0.705,1.1,40777710.11,37725736.7
